"","pi","xi1","xi2","eta1","eta2","ppv1","ppv2","p11","p12","p13","p14","p15","p16","p17","p18","p19","p01","p02","p03","p04","p05","p06","p07","p08","p09","N100","N200","N350","N500"
"22",0.3,0.85,0.95,0.94961436155485,0.958931423149188,0.65,0.65,0.15192642648432,0.0279655803084227,0.00878345869955525,0.0212960139776289,0.0419178129121773,0.00311070761746518,0.0307137620051706,0.0111804043122806,0.00310583368297956,0,0,0,0,0.0117239147191353,0.0235460321924699,0,0.0170240890764332,0.647705964011962,0.0167,0.0327,0.0405,0.0432
"23",0.3,0.85,0.95,0.909296805767476,0.987893613759245,0.75,0.75,0.199619165235022,0.0307532427849477,0.00849676895202007,0.00965980256801659,0.00183150744795907,0.00463951301194896,0.0108268849733577,0.032309396990697,0.00186371803603097,0,0,0,0,0.00461015847952184,0.0588820774832454,0,0.00386431188900649,0.632643452148226,0.0257,0.0387,0.04,0.045
"24",0.3,0.85,0.95,0.984379054762456,0.966804181098206,0.85,0.85,0.224128018397854,0.00153315446531238,0.000383288616328095,0.0186686055286853,0.00160451720308266,0.00868241485189332,0.0192048883200284,0.0198608160850376,0.00593429653177857,0,0,0,0,0.000996240604887011,0.00993842106139353,0,0.0222408326263687,0.666824505707351,0.0211,0.0358,0.0441,0.0425
"25",0.3,0.5,0.7,0.935697871894809,0.938236642347183,0.65,0.65,0.0270243265741134,0.0292811609674206,0.0704519807463238,0.0101421017939172,0.0120619219212346,0.0010385079969848,0.127435899364001,0.00405458937931305,0.0185095112566914,0,0,0,0,0.015332403973718,0.029679085699916,0,0.0279019463832538,0.627086563943112,0.0134,0.0272,0.0403,0.0442
"26",0.3,0.5,0.7,0.979562190797878,0.961227551678894,0.75,0.75,0.0981866127844655,0.0232709464203154,0.00177229062141475,0.00687344273563021,0.00449446783324264,0.015402239596758,0.0727954798484849,0.00437905037786132,0.0728254697818272,0,0,0,0,0.0139682774865098,0.000338188954975394,0,0.0131724363382644,0.67252109722025,0.005,0.0233,0.0383,0.0383
"27",0.3,0.5,0.7,0.982217942891709,0.960812010779045,0.85,0.85,0.100761307657859,0.00373190028362442,0.0335871025526198,0.0025916658296366,0.00232675961195654,0.00700125057810263,0.098463880098972,0.00212448651795108,0.0494116468692776,0,0,0,0,0.000911304590578421,0.0115361353852254,0,0.0265202878640898,0.661032272160106,0.0123,0.0312,0.0414,0.0422
"28",0.3,0.7,0.95,0.977440804530634,0.973027794252266,0.65,0.65,0.0999767225325884,0.0364292364990689,0.0103584729981378,0.0189632909057369,0.040140195535879,0.00413207895222284,0.0785823401768935,0.0109082143498332,0.000509448049639372,0,0,0,0,0.00339655374596859,0.0123948830825878,0,0.0154839902774451,0.668724572893998,0.0127,0.0258,0.0394,0.0401
"29",0.3,0.7,0.95,0.977889709390001,0.909477071574656,0.75,0.75,0.148638187988555,0.00963111016748932,0.0108386044142044,0.0244288689265704,0.0134736317703914,0.0029895967327724,0.0882074805081804,0.000620720638813854,0.00117179885302321,0,0,0,0,0.00502574540556011,0.0104514580214389,0,0.0583403044921805,0.62618249208082,0.0211,0.0339,0.0405,0.0461
"30",0.3,0.7,0.95,0.968063086436596,0.945902727422321,0.85,0.85,0.192985470978205,0.0005833357946658,0.00393365679717099,0.00389079282077751,0.00684364668633801,0.00176309692265896,0.0775616133847363,0.00313514033527723,0.00930324628017004,0,0,0,0,0.0216828564972623,0.000672982997120597,0,0.0161852343071129,0.661458926198504,0.007,0.0284,0.0363,0.0429
"31",0.5,0.5,0.6,0.916508476866875,0.877112912258599,0.65,0.65,0.0755898581632308,0.015774686029586,0.0982702007379574,0.0130035254002196,0.0429694272669479,0.00439230191296307,0.146344919952505,0.00631758318751074,0.0973374973490795,0,0,0,0,0.0315503292811128,0.0101954322854498,0,0.0298932145895877,0.42836102384385,0.0181,0.0348,0.0443,0.0462
"32",0.5,0.5,0.6,0.900337279977975,0.938346753048245,0.75,0.75,0.21279166352035,0.0095144604696821,0.00256739409499358,0.0162043705863753,0.00474036468397569,0.00418174472121702,0.0191239335001825,0.0376252072394341,0.193250861183789,0,0,0,0,0.024131637403301,0.0256997226077113,0,0.00669498607257651,0.443473653916411,0.0226,0.034,0.0383,0.0472
"33",0.5,0.5,0.6,0.976037546870066,0.927413970937487,0.85,0.85,0.0494665841285665,0.00649585567623626,0.166721602739836,0.00615180882441461,0.00233552037560946,0.0188286281827484,0.230230669398587,0.00531956159658614,0.0144497690774154,0,0,0,0,0.0062050719779374,0.00577615458702968,0,0.0300879425533192,0.457930830881714,0.0243,0.037,0.0457,0.0445
"34",0.5,0.75,0.85,0.890160529065179,0.836109321389231,0.65,0.65,0.271324126726239,0.00731112916328188,0.000812347684809098,0.0447407416901624,0.0414910007285409,0.00932042952743302,0.0134496021320987,0.0466833995596772,0.0648672227877579,0,0,0,0,0.007164776589274,0.0477549588781366,0,0.0747805627161106,0.370299701816479,0.0309,0.0398,0.0436,0.0477
"35",0.5,0.75,0.85,0.822051123046549,0.838960158868576,0.75,0.75,0.291463009538272,0.0194087220614056,0.0371090969487021,0.00226621467316908,0.00250699692166608,0.0222459595476207,0.0854107162128431,0.0239443405926444,0.0156449435036772,0,0,0,0,0.0663833176215164,0.022591120855209,0,0.0141366029441954,0.396888958579079,0.0314,0.0406,0.0465,0.0457
"36",0.5,0.75,0.85,0.917542318545748,0.923377331497031,0.85,0.85,0.33216083867853,0.0154493413338851,0.00618433455180817,0.0151165400345578,0.00126029271736454,0.004828652630004,0.0465372554006743,0.0144757318349887,0.0639870128181879,0,0,0,0,0.03739944808396,0.00382939264316629,0,0.000911886167524412,0.457859273105349,0.0195,0.0323,0.0405,0.0437
"37",0.5,0.85,0.95,0.981355245574377,0.805314975790097,0.65,0.65,0.195367573011078,0.0778784827123196,0.00906344410876133,0.121419480772985,0.0199386297091548,0.00133234432949444,0.0552355790841562,0.00516025471030734,0.0146042115617442,0,0,0,0,0.000843797824459536,0.00847857938835173,0,0.0964987142804918,0.394178908506697,0.0304,0.0411,0.0455,0.0411
"38",0.5,0.85,0.95,0.901370818819851,0.87444508082117,0.75,0.75,0.328277904840463,0.0154287428292902,0.0120292952395236,0.0165721350761239,0.0413682350322458,0.0113236869490742,0.0584830547754741,0.0148699274464025,0.00164701781140225,0,0,0,0,0.0183018381561209,0.0310127524339537,0,0.0444756214332943,0.406209787976631,0.0319,0.042,0.0444,0.0434
"39",0.5,0.85,0.95,0.969865137198358,0.96415794861794,0.85,0.85,0.335324537469676,0.0209581690353392,0.0177746101856794,0.0393819890875696,0.00907568472799957,0.00248500891361893,0.0442763452801297,0.0259832743992857,0.00474038090070172,0,0,0,0,0.00685054279920455,0.00821688860161651,0,0.0110704828918256,0.473862085707353,0.0247,0.0384,0.0455,0.0441
"40",0.5,0.5,0.7,0.941822858649539,0.879744680852164,0.65,0.65,0.0636554621848739,0.0190126050420168,0.0987394957983193,0.0154455038421012,0.041093778109018,0.0120531469250341,0.187482012696072,0.0233106381259183,0.0392073572766466,0,0,0,0,0.00833322534326469,0.0207553453319659,0,0.0517944342306535,0.419116995094116,0.0236,0.0381,0.0419,0.0423
"41",0.5,0.5,0.7,0.971741259010741,0.969768840959296,0.75,0.75,0.0392845475334858,0.0378961123815746,0.120916367200261,0.0174453107795897,0.0253841588814697,0.00907350246152813,0.217106826327189,0.0128830440966916,0.0200101303382105,0,0,0,0,0.00103750191226426,0.013091868582365,0,0.0140780776080879,0.471792551897283,0.019,0.0339,0.0415,0.0443
"42",0.5,0.5,0.7,0.957077882502927,0.928574049309827,0.85,0.85,0.178371133395246,0.00208991999953782,0.0502808465403664,0.00382401589950235,0.00345970580026323,0.0119743783639777,0.145660879748575,0.0165943451568756,0.0877447750956559,0,0,0,0,0.0074334283818932,0.0140276303666435,0,0.0282795469631931,0.45025939428827,0.0289,0.0404,0.0402,0.0465
"43",0.5,0.7,0.95,0.972695997720584,0.691958445974742,0.65,0.65,0.213453130962822,0.00685578088281569,0.0160648888948401,0.0946692635071774,0.0176440885811152,0.00131284714708216,0.100741110588209,0.0416366254778602,0.0076222639580778,0,0,0,0,0.0111086624982093,0.00254333864149858,0,0.14291211451442,0.343435884345872,0.0371,0.042,0.0478,0.0477
"44",0.5,0.7,0.95,0.934644385764841,0.788346520444611,0.75,0.75,0.264052375131859,0.0173132628970413,0.00564271721112469,0.0242009830227773,0.0217331196224283,0.0170575420165827,0.147366696678635,0.000333562647259533,0.00229974077229256,0,0,0,0,0.00169910449663752,0.030978702620942,0,0.104127635281057,0.363194557601364,0.0338,0.0424,0.0445,0.0487
"45",0.5,0.7,0.95,0.959190736823948,0.935909053054638,0.85,0.85,0.298832499404336,0.00390755301405766,0.0121038837264713,0.0229730923925954,0.0105258208121494,0.00165714994531567,0.109183060654847,0.0295779737220142,0.0112389663282131,0,0,0,0,0.0195590213762342,0.000845610211791747,0,0.0124864520964467,0.467108916315527,0.0291,0.0389,0.0459,0.0482
